ID	Arc_ID	BeginNode	EndNode	LeftPolygon	RightPolygon	MiddlePtsNum	MiddlePtsCooridinate	LX	LY	RX	RY
0	778061	-4000060	15005940	-994963050	-2070466094	18	 (38429947.78,3737851.97366693,-60),(38429948.9991849,3737853.05544,-60),(38430052.5821034,3737983.80148,-60),(38430101.802,3738037.3229355,-60),(38430190.9524173,3738114.54752,-60),(38430255.824,3738169.65189268,-60),(38430341.5987032,3738245.29356,-60),(38430409.846,3738305.97146612,-60),(38430563.868,3738328.75329434,-60),(38430631.6507976,3738376.0396,-60),(38430717.89,3738464.03052164,-60),(38430757.7137894,3738506.78564,-60),(38430839.8320486,3738637.53168,-60),(38430871.912,3738667.52721334,-60),(38431025.934,3738747.02332813,-60),(38431179.956,3738756.06230135,-60),(38431333.978,3738653.59545163,-60),(38431380.1854206,3738637.53168,-60)	38429893.7934093	3737722.3094	38431488	3738756.06230135
0	778062	15005940	-17000060	1762647496	1125611908	8	 (38431642.022,3738514.44212332,-60),(38431647.9525768,3738506.78564,-60),(38431743.6199332,3738376.0396,-60),(38431758.188362,3738245.29356,-60),(38431796.044,3738194.49884501,-60),(38431877.0768166,3738114.54752,-60),(38431877.5610511,3737983.80148,-60),(38431875.2943627,3737853.05544,-60)	38431488	3737722.3094	38431877.5610511	3738544.35155832
0	778063	14880	-3015120	-1319970560	1650532980	5	 (38429244.5546112,3739814.24604,-120),(38429331.692,3739821.42601058,-120),(38429485.714,3739815.75067057,-120),(38429488.4484399,3739814.24604,-120),(38429639.736,3739740.26409025,-120)	38429177.67	3739683.5	38429728.7244396	3739821.42601058
0	778064	-3015120	1000658	395969056	1318314624	11	 (38429793.758,3739603.93376785,-120),(38429870.8399602,3739552.75396,-120),(38429947.78,3739485.29097147,-120),(38430101.802,3739468.11697255,-120),(38430255.824,3739469.2262387,-120),(38430409.846,3739503.19486381,-120),(38430563.868,3739461.03448833,-120),(38430656.4807397,3739422.00792,-120),(38430717.89,3739395.93130425,-120),(38430871.912,3739366.61923583,-120),(38431025.934,3739331.3302453,-120)	38429728.7244396	3739314.7552261	38431053.6097304	3739683.5
0	778065	1000658	15009880	-15507392	-994963050	4	 (38431092.8371669,3739291.26188,-120),(38431179.956,3739230.16809292,-120),(38431298.6454191,3739160.51584,-120),(38431333.978,3739134.00548047,-120)	38431053.6097304	3739030.09812105	38431488	3739314.7552261
0	778066	15009880	-26000120	74557696	1762647496	21	 (38431488.4673246,3739029.7698,-120),(38431642.022,3738972.89860126,-120),(38431737.4047471,3738899.02376,-120),(38431796.044,3738859.84578309,-120),(38431950.066,3738853.34105715,-120),(38432104.088,3738791.07513709,-120),(38432156.2916313,3738768.27772,-120),(38432258.11,3738693.32909987,-120),(38432329.9165849,3738637.53168,-120),(38432412.132,3738581.76302175,-120),(38432554.4167791,3738506.78564,-120),(38432566.154,3738498.65970696,-120),(38432720.176,3738413.13699308,-120),(38432764.91985,3738376.0396,-120),(38432830.3707962,3738245.29356,-120),(38432874.198,3738205.46445057,-120),(38432966.5108639,3738114.54752,-120),(38433006.0468204,3737983.80148,-120),(38433028.22,3737962.67370569,-120),(38433141.3015828,3737853.05544,-120),(38433182.242,3737793.34074407,-120)	38431488	3737722.3094	38433254.8715505	3739030.09812105
0	778067	-1030180	1000660	974269194	1430197824	15	 (38429485.714,3741527.64000633,-180),(38429501.4388297,3741513.94456,-180),(38429639.736,3741394.82444212,-180),(38429652.9516644,3741383.19852,-180),(38429793.758,3741261.36051407,-180),(38429801.5003122,3741252.45248,-180),(38429947.78,3741125.96224137,-180),(38429952.5747642,3741121.70644,-180),(38430101.802,3740992.28210432,-180),(38430103.2725062,3740990.9604,-180),(38430121.7018018,3740860.21436,-180),(38430255.824,3740745.49250982,-180),(38430267.1605947,3740729.46832,-180),(38430409.846,3740608.28878255,-180),(38430420.7196841,3740598.72228,-180)	38429388.1101036	3740546.42782993	38430471.450128	3741644.6906
0	778068	1000660	-13015180	-1474963920	-1319970560	11	 (38430547.5554123,3740467.97624,-180),(38430563.868,3740444.97309337,-180),(38430684.3922933,3740337.2302,-180),(38430717.89,3740296.7362476,-180),(38430789.2689375,3740206.48416,-180),(38430804.0893252,3740075.73812,-180),(38430871.912,3740023.55918515,-180),(38430996.5170747,3739944.99208,-180),(38431025.934,3739926.33318283,-180),(38431104.4030875,3739814.24604,-180),(38431179.956,3739708.15880079,-180)	38430471.450128	3739683.5	38431226.7382012	3740546.42782993
0	778069	-13015180	1000659	34491668	395969056	1	 (38431306.9264601,3739552.75396,-180)	38431226.7382012	3739533.61068739	38431311.4267615	3739683.5
0	778070	1000659	15011820	-333076582	-15507392	2	 (38431333.978,3739437.68277612,-180),(38431399.6151443,3739422.00792,-180)	38431311.4267615	3739411.96461044	38431488	3739533.61068739
0	778071	15011820	1000657	-1729538593	74557696	6	 (38431642.022,3739412.49771748,-180),(38431720.9431239,3739291.26188,-180),(38431796.044,3739227.68747557,-180),(38431910.9339294,3739160.51584,-180),(38431950.066,3739144.06002749,-180),(38432027.8685889,3739160.51584,-180)	38431488	3739144.06002749	38432089.230968	3739412.49771748
0	778072	1000657	30006820	6467584	949523392	17	 (38432104.088,3739176.18123113,-180),(38432133.6866672,3739160.51584,-180),(38432258.11,3739067.32645569,-180),(38432314.4955151,3739029.7698,-180),(38432412.132,3738986.7507514,-180),(38432566.154,3738933.99246077,-180),(38432712.1926838,3738899.02376,-180),(38432720.176,3738896.66040468,-180),(38432874.198,3738842.02892383,-180),(38433028.22,3738875.21551419,-180),(38433130.3971023,3738899.02376,-180),(38433182.242,3738904.57397408,-180),(38433336.264,3738913.98764233,-180),(38433359.5045662,3738899.02376,-180),(38433490.286,3738815.25386124,-180),(38433556.0196986,3738768.27772,-180),(38433644.308,3738705.20990025,-180)	38432089.230968	3738702.35243685	38433798.33	3739176.18123113
